ticker,year,date,close,moving_average_50,moving_average_200,trend
TSLA,2021,2021-09-21,244.92999267578125,234.12,231.71,Bullish
TSLA,2021,2021-09-22,247.8433380126953,234.50,231.96,Bullish
TSLA,2021,2021-09-23,251.6666717529297,235.06,232.21,Bullish
TSLA,2021,2021-09-24,248.6300048828125,235.64,232.41,Bullish
TSLA,2021,2021-09-27,257.7066650390625,236.43,232.61,Bullish
TSLA,2021,2021-09-28,262.3999938964844,237.48,232.97,Bullish
TSLA,2021,2021-09-29,259.9333190917969,238.33,233.24,Bullish
TSLA,2021,2021-09-30,260.3333435058594,239.14,233.51,Bullish
TSLA,2021,2021-10-01,259.4666748046875,239.96,233.74,Bullish
TSLA,2021,2021-10-04,265.5,240.96,234.02,Bullish
TSLA,2021,2021-10-05,261.6000061035156,241.85,234.28,Bullish
TSLA,2021,2021-10-06,258.7333374023437,242.60,234.46,Bullish
TSLA,2021,2021-10-07,261.82000732421875,243.52,234.66,Bullish
TSLA,2021,2021-10-08,265.4033203125,244.50,234.90,Bullish
TSLA,2021,2021-10-11,262.54998779296875,245.27,235.16,Bullish
TSLA,2021,2021-10-12,266.9766540527344,245.95,235.43,Bullish
TSLA,2021,2021-10-13,270.1566772460937,246.55,235.65,Bullish
TSLA,2021,2021-10-14,271.8299865722656,247.25,235.91,Bullish
TSLA,2021,2021-10-15,274.5799865722656,247.97,236.16,Bullish
TSLA,2021,2021-10-18,283.92999267578125,248.90,236.42,Bullish
TSLA,2021,2021-10-19,292.510009765625,250.02,236.68,Bullish
TSLA,2021,2021-10-20,288.45001220703125,251.03,236.92,Bullish
TSLA,2021,2021-10-21,285.3333435058594,251.98,237.08,Bullish
TSLA,2021,2021-10-22,298.5,253.24,237.27,Bullish
TSLA,2021,2021-10-25,316.84332275390625,254.76,237.43,Bullish
TSLA,2021,2021-10-26,341.5633239746094,256.89,237.72,Bullish
TSLA,2021,2021-10-27,346.5533447265625,259.33,238.07,Bullish
TSLA,2021,2021-10-28,356.10333251953125,261.99,238.43,Bullish
TSLA,2021,2021-10-29,360.6199951171875,264.68,238.83,Bullish
TSLA,2021,2021-11-01,381.6666564941406,267.76,239.32,Bullish
TSLA,2021,2021-11-02,386.4533386230469,270.92,239.85,Bullish
TSLA,2021,2021-11-03,392.4433288574219,274.03,240.38,Bullish
TSLA,2021,2021-11-04,411.4700012207031,277.55,241.02,Bullish
TSLA,2021,2021-11-05,409.3333435058594,281.01,241.67,Bullish
TSLA,2021,2021-11-08,383.2633361816406,283.98,242.16,Bullish
TSLA,2021,2021-11-09,391.2000122070313,287.04,242.63,Bullish
TSLA,2021,2021-11-10,336.8033447265625,288.89,242.87,Bullish
TSLA,2021,2021-11-11,367.5899963378906,291.34,243.34,Bullish
TSLA,2021,2021-11-12,349.1666564941406,293.43,243.70,Bullish
TSLA,2021,2021-11-15,339.2099914550781,295.33,244.04,Bullish
TSLA,2021,2021-11-16,334.4366760253906,297.09,244.30,Bullish
TSLA,2021,2021-11-17,354.5033264160156,299.10,244.62,Bullish
TSLA,2021,2021-11-18,368.8500061035156,301.46,245.03,Bullish
TSLA,2021,2021-11-19,366.2900085449219,303.72,245.46,Bullish
TSLA,2021,2021-11-22,387.4433288574219,306.53,245.95,Bullish
TSLA,2021,2021-11-23,389.1700134277344,309.37,246.47,Bullish
TSLA,2021,2021-11-24,360.1300048828125,311.60,246.86,Bullish
TSLA,2021,2021-11-26,366.489990234375,313.91,247.34,Bullish
TSLA,2021,2021-11-29,366.9966735839844,316.20,247.84,Bullish
TSLA,2021,2021-11-30,381.4566650390625,318.94,248.38,Bullish
TSLA,2021,2021-12-01,386.8999938964844,321.78,249.02,Bullish
TSLA,2021,2021-12-02,366.3533325195313,324.15,249.55,Bullish
TSLA,2021,2021-12-03,361.5966796875,326.34,250.03,Bullish
TSLA,2021,2021-12-06,333.836669921875,328.05,250.43,Bullish
TSLA,2021,2021-12-07,348.0666809082031,329.86,251.07,Bullish
TSLA,2021,2021-12-08,350.9033203125,331.63,251.63,Bullish
TSLA,2021,2021-12-09,353.5466613769531,333.50,252.19,Bullish
TSLA,2021,2021-12-10,336.25,335.02,252.71,Bullish
TSLA,2021,2021-12-13,333.6966552734375,336.50,253.23,Bullish
TSLA,2021,2021-12-14,315.0,337.49,253.60,Bullish
TSLA,2021,2021-12-15,317.7366638183594,338.61,254.05,Bullish
TSLA,2021,2021-12-16,331.5,340.07,254.61,Bullish
TSLA,2021,2021-12-17,304.92333984375,340.93,255.09,Bullish
TSLA,2021,2021-12-20,303.5666809082031,341.69,255.61,Bullish
TSLA,2021,2021-12-21,305.6233215332031,342.56,256.12,Bullish
TSLA,2021,2021-12-22,321.8866577148437,343.65,256.56,Bullish
TSLA,2021,2021-12-23,335.6000061035156,344.96,257.08,Bullish
TSLA,2021,2021-12-27,357.8900146484375,346.68,257.75,Bullish
TSLA,2021,2021-12-28,369.8299865722656,348.59,258.44,Bullish
TSLA,2021,2021-12-29,366.21331787109375,350.24,259.10,Bullish
TSLA,2021,2021-12-30,353.77667236328125,351.46,259.77,Bullish
TSLA,2021,2021-12-31,357.8133239746094,352.85,260.42,Bullish
TSLA,2022,2022-01-03,382.5833435058594,354.79,261.26,Bullish
TSLA,2022,2022-01-04,396.51666259765625,356.75,262.10,Bullish
TSLA,2022,2022-01-05,382.2166748046875,358.06,262.88,Bullish
TSLA,2022,2022-01-06,359.0,358.41,263.57,Bullish
TSLA,2022,2022-01-07,360.1233215332031,358.68,264.35,Bullish
TSLA,2022,2022-01-10,333.3333435058594,358.23,264.94,Bullish
TSLA,2022,2022-01-11,351.22332763671875,358.04,265.67,Bullish
TSLA,2022,2022-01-12,359.6166687011719,357.60,266.47,Bullish
TSLA,2022,2022-01-13,369.6900024414063,357.26,267.24,Bullish
TSLA,2022,2022-01-14,339.9599914550781,356.21,267.79,Bullish
TSLA,2022,2022-01-18,342.2033386230469,354.83,268.32,Bullish
TSLA,2022,2022-01-19,347.2366638183594,353.58,268.91,Bullish
TSLA,2022,2022-01-20,336.57666015625,352.65,269.45,Bullish
TSLA,2022,2022-01-21,332.11334228515625,351.47,269.98,Bullish
TSLA,2022,2022-01-24,301.586669921875,350.76,270.36,Bullish
TSLA,2022,2022-01-25,304.7333374023437,349.51,270.74,Bullish
TSLA,2022,2022-01-26,317.4766540527344,348.87,271.14,Bullish
TSLA,2022,2022-01-27,311.1199951171875,348.31,271.41,Bullish
TSLA,2022,2022-01-28,277.1866760253906,347.17,271.55,Bullish
TSLA,2022,2022-01-31,290.9033203125,345.89,271.80,Bullish
TSLA,2022,2022-02-01,311.7366638183594,344.75,272.15,Bullish
TSLA,2022,2022-02-02,309.3933410644531,343.61,272.51,Bullish
TSLA,2022,2022-02-03,294.0,341.75,272.80,Bullish
TSLA,2022,2022-02-04,299.0733337402344,339.94,273.06,Bullish
TSLA,2022,2022-02-07,307.92999267578125,338.90,273.40,Bullish
TSLA,2022,2022-02-08,301.84332275390625,337.61,273.67,Bullish
TSLA,2022,2022-02-09,311.6666564941406,336.50,274.04,Bullish
TSLA,2022,2022-02-10,302.7900085449219,334.93,274.39,Bullish
TSLA,2022,2022-02-11,303.2099914550781,333.25,274.74,Bullish
TSLA,2022,2022-02-14,287.19000244140625,331.67,275.06,Bullish
TSLA,2022,2022-02-15,300.0,330.44,275.39,Bullish
TSLA,2022,2022-02-16,304.6833190917969,329.85,275.78,Bullish
TSLA,2022,2022-02-17,304.4200134277344,328.98,276.17,Bullish
TSLA,2022,2022-02-18,295.3333435058594,327.87,276.51,Bullish
TSLA,2022,2022-02-22,278.0433349609375,326.36,276.79,Bullish
TSLA,2022,2022-02-23,276.8099975585937,325.17,277.07,Bullish
TSLA,2022,2022-02-24,233.4633331298828,323.17,277.24,Bullish
TSLA,2022,2022-02-25,269.74334716796875,322.26,277.58,Bullish
TSLA,2022,2022-02-28,271.6700134277344,321.34,277.94,Bullish
TSLA,2022,2022-03-01,289.8933410644531,320.51,278.41,Bullish
TSLA,2022,2022-03-02,290.7099914550781,320.22,278.91,Bullish
TSLA,2022,2022-03-03,292.92333984375,320.01,279.43,Bullish
TSLA,2022,2022-03-04,283.0333251953125,319.56,279.92,Bullish
TSLA,2022,2022-03-07,285.4333190917969,318.83,280.39,Bullish
TSLA,2022,2022-03-08,265.1766662597656,317.42,280.72,Bullish
TSLA,2022,2022-03-09,279.82666015625,315.86,281.15,Bullish
TSLA,2022,2022-03-10,283.8166809082031,314.14,281.56,Bullish
TSLA,2022,2022-03-11,280.0666809082031,312.42,281.95,Bullish
TSLA,2022,2022-03-14,260.2033386230469,310.55,282.21,Bullish
TSLA,2022,2022-03-15,258.42333984375,308.56,282.46,Bullish
TSLA,2022,2022-03-16,269.6666564941406,306.30,282.76,Bullish
TSLA,2022,2022-03-17,276.9966735839844,303.91,283.11,Bullish
TSLA,2022,2022-03-18,291.4966735839844,302.10,283.57,Bullish
TSLA,2022,2022-03-21,304.99334716796875,301.01,284.12,Bullish
TSLA,2022,2022-03-22,310.0,300.01,284.69,Bullish
TSLA,2022,2022-03-23,326.64666748046875,299.88,285.28,Bullish
TSLA,2022,2022-03-24,336.57666015625,299.59,285.96,Bullish
TSLA,2022,2022-03-25,336.0,299.11,286.64,Bullish
TSLA,2022,2022-03-28,355.0333251953125,298.82,287.39,Bullish
TSLA,2022,2022-03-29,369.3299865722656,299.41,288.22,Bullish
TSLA,2022,2022-03-30,363.7233276367188,299.84,289.01,Bullish
TSLA,2022,2022-03-31,364.8566589355469,300.19,289.84,Bullish
TSLA,2022,2022-04-01,360.3833312988281,300.67,290.64,Bullish
TSLA,2022,2022-04-04,363.1266784667969,301.29,291.43,Bullish
TSLA,2022,2022-04-05,378.76666259765625,302.83,292.28,Bullish
TSLA,2022,2022-04-06,357.8233337402344,303.89,293.04,Bullish
TSLA,2022,2022-04-07,350.7966613769531,304.56,293.74,Bullish
TSLA,2022,2022-04-08,347.7366638183594,305.29,294.36,Bullish
TSLA,2022,2022-04-11,326.79998779296875,306.28,294.84,Bullish
TSLA,2022,2022-04-12,332.5466613769531,307.12,295.39,Bullish
TSLA,2022,2022-04-13,327.02667236328125,307.42,295.88,Bullish
TSLA,2022,2022-04-14,333.0966796875,307.90,296.41,Bullish
TSLA,2022,2022-04-18,329.6766662597656,308.61,296.92,Bullish
TSLA,2022,2022-04-19,335.0199890136719,309.33,297.46,Bullish
TSLA,2022,2022-04-20,343.3333435058594,310.04,298.04,Bullish
TSLA,2022,2022-04-21,358.24334716796875,311.16,298.73,Bullish
TSLA,2022,2022-04-22,338.3033447265625,311.70,299.37,Bullish
TSLA,2022,2022-04-25,326.3233337402344,312.17,299.92,Bullish
TSLA,2022,2022-04-26,331.8099975585937,312.74,300.47,Bullish
TSLA,2022,2022-04-27,299.52667236328125,312.99,300.83,Bullish
TSLA,2022,2022-04-28,299.99334716796875,312.99,301.21,Bullish
